locality,lon,lat,Age,region,Country,group.name
Boujarah (Tetouan Basin),-5.321296347,35.57928506,Zanclean,Western Mediterranean,Morocco,bivalves
Bour Yahor (Lower Chelif Basin),0.165516,36.026508,pre-evaporitic Messinian,Western Mediterranean,Algeria,bivalves
Bra Cuneo,7.854894934,44.6924485,Zanclean,Po Plain-Northern Adriatic,Italy,echinoids
Bra Cuneo,7.854894934,44.6924485,Zanclean,Po Plain-Northern Adriatic,Italy,marine_mammals
Breolungi (Piedmont),7.792419996,44.42980917,Zanclean,Po Plain-Northern Adriatic,Italy,bivalves
Breolungi (Piedmont),7.792419996,44.42980917,Zanclean,Po Plain-Northern Adriatic,Italy,gastropods
Briatico,16.03270616,38.72505805,Tortonian,Eastern Mediterranean,Italy,echinoids
Briatico,16.03270616,38.72505805,Tortonian,Eastern Mediterranean,Italy,marine_mammals
Bric del Dente la Morra,8.675808884,44.48196217,pre-evaporitic Messinian,Western Mediterranean,Italy,fish
Briccone Sabbie d'Asti (Piedmont),8.17864,44.898334,Zanclean,Po Plain-Northern Adriatic,Italy,marine_mammals
Brisighella,11.76900702,44.22178287,pre-evaporitic Messinian,Po Plain-Northern Adriatic,Italy,fish
Bussana (Liguria),7.838478203,43.8236699,Zanclean,Western Mediterranean,Italy,gastropods
Butano Elche,-0.723242,38.255476,Tortonian,Western Mediterranean,Spain,marine_mammals
Buyukdere (Hatay Graben),36.04142543,36.5260622,Zanclean,Eastern Mediterranean,Turkey,bivalves
Cabrieres (Rhone delta),4.468332703,43.90286679,Tortonian,Western Mediterranean,France,ostracods
Cabrieres d'Aigues (Vaucluse_Rhone Basin),5.497495308,43.78467786,Tortonian,Western Mediterranean,France,corals
Cacchiamo (Sicily),14.23132646,37.6827936,Tortonian,Eastern Mediterranean,Italy,corals
Caccuri Cosenza (Calabria),16.77484426,39.2284089,Tortonian,Eastern Mediterranean,Italy,marine_mammals
Cadirlitepe,30.828771,37.160516,Zanclean,Eastern Mediterranean,Turkey,planktic_foraminifera
Cagliari (Sardinia),9.122783102,39.22449589,pre-evaporitic Messinian,Western Mediterranean,Italy,echinoids
Cagliari (Sardinia),9.122783102,39.22449589,Tortonian,Western Mediterranean,Italy,echinoids
Cagnes sur Mer (La Combe Quarry_Var),7.148975383,43.66372135,Zanclean,Western Mediterranean,France,dinocysts
Cala Pisana (Lampedusa),12.62379763,35.50423761,Tortonian,Eastern Mediterranean,Italy,corals
Cala Portals (Mallorca),2.57716384,39.53122932,Tortonian,Western Mediterranean,Spain,sharks
Calabria,16.040039,38.654897,pre-evaporitic Messinian,Eastern Mediterranean,Italy,corals
Calabria,16.040039,38.654897,pre-evaporitic Messinian,Eastern Mediterranean,Italy,marine_mammals
